kladr_id,address
0100000200000,"Респ Адыгея, г Адыгейск"
0100000100000,г Майкоп
0400000100000,г Горно-Алтайск
2200000200000,"Алтайский край, г Алейск"
2200000100000,г Барнаул
2200000300000,"Алтайский край, г Белокуриха"
2200000400000,"Алтайский край, г Бийск"
2202700100000,"Алтайский край, г Горняк"
2200001100000,"Алтайский край, г Заринск"
2201500100000,"Алтайский край, г Змеиногорск"
2201800100000,"Алтайский край, г Камень-на-Оби"
2200000800000,"Алтайский край, г Новоалтайск"
2200000900000,"Алтайский край, г Рубцовск"
2200001000000,"Алтайский край, г Славгород"
2200001200000,"Алтайский край, г Яровое"
2800000300000,"Амурская обл, г Белогорск"
2800000100000,г Благовещенск
2800500100000,"Амурская обл, г Завитинск"
2800000400000,"Амурская обл, г Зея"
2800000200000,"Амурская обл, г Райчихинск"
2800000500000,"Амурская обл, г Свободный"
2801700100000,"Амурская обл, г Сковородино"
2800000600000,"Амурская обл, г Тында"
2800001000000,"Амурская обл, г Циолковский"
2800000700000,"Амурская обл, г Шимановск"
2900000100000,г Архангельск
2900200100000,"Архангельская обл, г Вельск"
2900600100000,"Архангельская обл, г Каргополь"
2900000500000,"Архангельская обл, г Коряжма"
2900800100000,"Архангельская обл, г Котлас"
2901200100000,"Архангельская обл, г Мезень"
2900000200000,"Архангельская обл, г Мирный"
2900000300000,"Архангельская обл, г Новодвинск"
2901300100000,"Архангельская обл, г Няндома"
2901400100000,"Архангельская обл, г Онега"
2900000400000,"Архангельская обл, г Северодвинск"
2900800300000,"Архангельская обл, Котласский р-н, г Сольвычегодск"
2901900100000,"Архангельская обл, г Шенкурск"
3000000100000,г Астрахань
3000200100000,"Астраханская обл, г Ахтубинск"
3000000200000,"Астраханская обл, г Знаменск"
3000600100000,"Астраханская обл, г Камызяк"
3000900100000,"Астраханская обл, г Нариманов"
3001100100000,"Астраханская обл, г Харабали"
0200000200000,"Респ Башкортостан, г Агидель"
0200600100000,"Респ Башкортостан, г Баймак"
0200900100000,"Респ Башкортостан, г Белебей"
0201100100000,"Респ Башкортостан, г Белорецк"
0201300100000,"Респ Башкортостан, г Бирск"
0201500100000,"Респ Башкортостан, г Благовещенск"
0205900100000,"Респ Башкортостан, г Давлеканово"
0206000100000,"Респ Башкортостан, г Дюртюли"
0202600100000,"Респ Башкортостан, г Ишимбай"
0200000700000,"Респ Башкортостан, г Кумертау"
0200000800000,"Респ Башкортостан, г Межгорье"
0203500100000,"Респ Башкортостан, г Мелеуз"
0200000300000,"Респ Башкортостан, г Нефтекамск"
0200000400000,"Респ Башкортостан, г Октябрьский"
0200000500000,"Респ Башкортостан, г Салават"
0200000600000,"Респ Башкортостан, г Сибай"
0200001400000,"Респ Башкортостан, г Стерлитамак"
0204400100000,"Респ Башкортостан, г Туймазы"
0200000100000,г Уфа
0204600100000,"Респ Башкортостан, г Учалы"
0205200100000,"Респ Башкортостан, г Янаул"
3100200100000,"Белгородская обл, г Алексеевка"
3100000100000,г Белгород
3101200100000,"Белгородская обл, г Бирюч"
3100400100000,"Белгородская обл, г Валуйки"
3100700100000,"Белгородская обл, г Грайворон"
3100000400000,"Белгородская обл, г Губкин"
3101000100000,"Белгородская обл, г Короча"
3101400100000,"Белгородская обл, г Новый Оскол"
3100000200000,"Белгородская обл, г Старый Оскол"
3102100100000,"Белгородская обл, г Строитель"
3100000300000,"Белгородская обл, г Шебекино"
3200000100000,г Брянск
3200600100000,"Брянская обл, г Дятьково"
3200800100000,"Брянская обл, г Жуковка"
3200900100000,"Брянская обл, г Злынка"
3201000100000,"Брянская обл, г Карачев"
3200000300000,"Брянская обл, г Клинцы"
3201600100000,"Брянская обл, г Мглин"
3200000400000,"Брянская обл, г Новозыбков"
3202000100000,"Брянская обл, г Почеп"
3202200100000,"Брянская обл, г Севск"
3200000200000,"Брянская обл, г Сельцо"
3200000600000,"Брянская обл, г Стародуб"
3202500100000,"Брянская обл, г Сураж"
3202600100000,"Брянская обл, г Трубчевск"
3202700100000,"Брянская обл, г Унеча"
3200000500000,"Брянская обл, г Фокино"
0300900200000,"Респ Бурятия, Кабанский р-н, г Бабушкин"
0301800100000,"Респ Бурятия, г Гусиноозерск"
0300700100000,"Респ Бурятия, г Закаменск"
0301200100000,"Респ Бурятия, г Кяхта"
0300000200000,"Респ Бурятия, г Северобайкальск"
0300000100000,г Улан-Удэ
3300200100000,"Владимирская обл, г Александров"
3300000100000,г Владимир
3300300100000,"Владимирская обл, г Вязники"
3300400100000,"Владимирская обл, г Гороховец"
3300000300000,"Владимирская обл, г Гусь-Хрустальный"
3300600100000,"Владимирская обл, г Камешково"
3300200200000,"Владимирская обл, Александровский р-н, г Карабаново"
3300700100000,"Владимирская обл, г Киржач"
3300000400000,"Владимирская обл, г Ковров"
3300900100000,"Владимирская обл, г Кольчугино"
3301200200000,"Владимирская обл, Петушинский р-н, г Костерево"
3300500200000,"Владимирская обл, Гусь-Хрустальный р-н, г Курлово"
3301400200000,"Владимирская обл, Собинский р-н, г Лакинск"
3301000100000,"Владимирская обл, г Меленки"
3300000500000,"Владимирская обл, г Муром"
3301200100000,"Владимирская обл, г Петушки"
3301200300000,"Владимирская обл, Петушинский р-н, г Покров"
3300000200000,"Владимирская обл, г Радужный"
3301400100000,"Владимирская обл, г Собинка"
3300200300000,"Владимирская обл, Александровский р-н, г Струнино"
3301500100000,"Владимирская обл, г Судогда"
3301600100000,"Владимирская обл, г Суздаль"
3301700100000,"Владимирская обл, г Юрьев-Польский"
3400000100000,г Волгоград
